Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
commons-bcel;LogistRegression;0;model7;SMOTE;0,7523219814241486;0,571568034465561;0,8174554341890163;[0,84984985 0,29328622];0,7523219814241486;0,8829787234042553;0,7442472057856673;0,8136129645949612;"[1132; 389; 11; 83]"
commons-bcel;MLP;0;model7;SMOTE;0,8396284829721362;0,6505208120105508;0,8776728713221522;[0,907599   0,39344262];0,8396284829721362;0,8936170212765957;0,8362919132149902;0,864954467245793;"[1272; 249; 10; 84]"
commons-bcel;RandomForest;0;model6;ADA;0,8631578947368422;0,6537122255112842;0,8916731888750351;[0,92302334 0,38440111];0,8631578947368421;0,7340425531914894;0,871137409598948;0,8025899813952186;"[1325; 196; 25; 69]"
commons-bcel;DT;0;model6;ADA;0,8668730650154799;0,5836635687487185;0,8870719404999712;[0,92704445 0,24028269];0,8668730650154799;0,3617021276595745;0,8980933596318211;0,6298977436456978;"[1366; 155; 60; 34]"
commons-bcel;LogistRegression;0;model6;ADA;0,9219814241486068;0,6131192297747425;0,918556756712722;[0,9587966  0,26744186];0,9219814241486068;0,24468085106382978;0,9638395792241946;0,6042602151440123;"[1466; 55; 71; 23]"
commons-bcel;MLP;0;model6;ADA;0,913312693498452;0,600659856159835;0,9128751108009872;[0,95400788 0,24731183];0,913312693498452;0,24468085106382978;0,9546351084812623;0,5996579797725461;"[1452; 69; 71; 23]"
commons-bcel;RandomForest;0;model7;ADA;0,9256965944272446;0,772695285010556;0,9374748084351708;[0,95918367 0,5862069 ];0,9256965944272446;0,9042553191489362;0,9270216962524654;0,9156385077007008;"[1410; 111; 9; 85]"
commons-bcel;DT;0;model7;ADA;0,9250773993808049;0,7743019663326884;0,9372993473627357;[0,95877342 0,58983051];0,9250773993808049;0,925531914893617;0,9250493096646942;0,9252906122791558;"[1407; 114; 7; 87]"
commons-bcel;LogistRegression;0;model7;ADA;0,836532507739938;0,5832844643569233;0,8703257335448202;[0,90814196 0,25842697];0,836532507739938;0,48936170212765956;0,8579881656804734;0,6736749339040663;"[1305; 216; 48; 46]"
commons-bcel;MLP;0;model7;ADA;0,8619195046439628;0,6666956648086262;0,8920875899259605;[0,92178183 0,4116095 ];0,8619195046439628;0,8297872340425532;0,863905325443787;0,8468462797431701;"[1314; 207; 16; 78]"
