Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
junit4,MLP,3,model6,SMOTE,"0,883","0,593","0,901","[0,93668342 0,25 ]","0,883","0,375","0,911","0,643",[1864; 182; 70; 42]
junit4,RandomForest,3,model6,ADA,"0,937","0,614","0,930","[0,96708616 0,26086957]","0,937","0,214","0,977","0,595",[1998; 48; 88; 24]
pdfbox,DT,3,model6,SMOTE,"0,816","0,645","0,835","[0,8911025 0,39840637]","0,816","0,537","0,851","0,694",[9885; 1727; 689; 800]
pdfbox,LogistRegression,3,model6,SMOTE,"0,713","0,579","0,762","[0,81649183 0,34098476]","0,713","0,653","0,721","0,687",[8367; 3245; 516; 973]
pdfbox,MLP,3,model6,ROS,"0,800","0,674","0,831","[0,87684636 0,47046926]","0,800","0,781","0,803","0,792",[9320; 2292; 326; 1163]
pdfbox,RandomForest,3,model6,ADA,"0,878","0,715","0,882","[0,93049941 0,49953052]","0,878","0,536","0,922","0,729",[10704; 908; 691; 798]
wro4j,DT,3,model6,ADA,"0,763","0,589","0,792","[0,85671479 0,32041344]","0,763","0,462","0,805","0,633",[3145; 763; 289; 248]
wro4j,LogistRegression,3,model6,ADA,"0,679","0,565","0,734","[0,78792385 0,34164358]","0,679","0,689","0,678","0,683",[2649; 1259; 167; 370]
wro4j,MLP,3,model6,ROS,"0,790","0,638","0,816","[0,87281659 0,40332907]","0,790","0,587","0,818","0,702",[3198; 710; 222; 315]
wro4j,RandomForest,3,model6,ADA,"0,860","0,656","0,857","[0,92108273 0,39177277]","0,860","0,372","0,927","0,650",[3624; 284; 337; 200]
commons-bcel,DT,3,model7,ROS,"0,980","0,841","0,980","[0,98958333 0,69230769]","0,980","0,730","0,988","0,859",[1140; 14; 10; 27]
commons-bcel,LogistRegression,3,model7,SMOTE,"0,812","0,570","0,873","[0,8925144 0,24832215]","0,812","1,000","0,806","0,903",[930; 224; 0; 37]
commons-bcel,MLP,3,model7,ROS,"0,922","0,675","0,941","[0,95827725 0,39215686]","0,922","0,811","0,925","0,868",[1068; 86; 7; 30]
commons-bcel,RandomForest,3,model7,ROS,"0,983","0,861","0,983","[0,99133449 0,72972973]","0,983","0,730","0,991","0,861",[1144; 10; 10; 27]
commons-io,DT,3,model7,SMOTE,"0,864","0,715","0,876","[0,92076601 0,5099926 ]","0,864","0,658","0,888","0,773",[7693; 966; 358; 689]
commons-io,LogistRegression,3,model7,SMOTE,"0,616","0,510","0,689","[0,73767147 0,28247066]","0,616","0,701","0,605","0,653",[5243; 3416; 313; 734]
commons-io,MLP,3,model7,ROS,"0,776","0,635","0,813","[0,86175555 0,40880674]","0,776","0,718","0,783","0,751",[6779; 1880; 295; 752]
commons-io,RandomForest,3,model7,SMOTE,"0,947","0,865","0,947","[0,96991479 0,75983341]","0,947","0,784","0,966","0,875",[8366; 293; 226; 821]
junit4,DT,3,model7,SMOTE,"0,968","0,837","0,968","[0,98314195 0,69058296]","0,968","0,688","0,983","0,835",[2012; 34; 35; 77]
junit4,LogistRegression,3,model7,ADA,"0,864","0,647","0,895","[0,92391587 0,36989247]","0,864","0,768","0,870","0,819",[1779; 267; 26; 86]
junit4,MLP,3,model7,ROS,"0,967","0,851","0,969","[0,98252523 0,71936759]","0,967","0,813","0,976","0,894",[1996; 50; 21; 91]
junit4,RandomForest,3,model7,SMOTE,"0,974","0,877","0,975","[0,98599853 0,76734694]","0,974","0,839","0,981","0,910",[2007; 39; 18; 94]
pdfbox,DT,3,model7,ADA,"0,870","0,743","0,883","[0,92364941 0,56299718]","0,870","0,737","0,887","0,812",[10301; 1311; 392; 1097]
pdfbox,LogistRegression,3,model7,ADA,"0,799","0,644","0,825","[0,87861644 0,4084286 ]","0,799","0,612","0,823","0,717",[9551; 2061; 578; 911]
pdfbox,MLP,3,model7,ADA,"0,863","0,752","0,880","[0,91794731 0,58644537]","0,863","0,854","0,864","0,859",[10035; 1577; 217; 1272]
