Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
junit4;MLP;4;model7;NONE;0,9675701839303001;0,8043745857399868;0,964543238547862;[0,98305085 0,62569832];0,9675701839303001;0,5233644859813084;0,9918325676365493;0,7575985268089288;"[1943; 16; 51; 56]"
junit4;DT;4;model6;ROS;0,9278799612778316;0,6376526534479816;0,9283508546923743;[0,96194125 0,31336406];0,9278799612778316;0,3177570093457944;0,9612046962736089;0,6394808528097017;"[1883; 76; 73; 34]"
junit4;RandomForest;4;model6;ROS;0,9380445304937076;0,5515033105394551;0,9247433206308397;[0,96787149 0,13513514];0,9380445304937076;0,09345794392523364;0,9841755997958141;0,5388167718605239;"[1928; 31; 97; 10]"
junit4;LogistRegression;4;model6;ROS;0,824298160696999;0,5744839477845542;0,8667492177238136;[0,90052069 0,2484472 ];0,824298160696999;0,5607476635514018;0,8386932108218479;0,6997204371866249;"[1643; 316; 47; 60]"
junit4;MLP;4;model6;ROS;0,8857696030977735;0,5810166089204202;0,9013358740829958;[0,93834901 0,22368421];0,8857696030977735;0,3177570093457944;0,9167942827973455;0,6172756460715699;"[1796; 163; 73; 34]"
junit4;DT;4;model7;ROS;0,9559535333978703;0,7747748719072964;0,9558557575416963;[0,97677979 0,57276995];0,9559535333978703;0,5700934579439252;0,9770290964777948;0,77356127721086;"[1914; 45; 46; 61]"
junit4;RandomForest;4;model7;ROS;0,9709583736689255;0,858394867670712;0,9715694676211416;[0,98464688 0,73214286];0,9709583736689255;0,7663551401869159;0,9821337417049515;0,8742444409459337;"[1924; 35; 25; 82]"
junit4;LogistRegression;4;model7;ROS;0,8533397870280734;0,6422433130432448;0,8885890407180418;[0,91705448 0,36743215];0,8533397870280736;0,822429906542056;0,8550280755487494;0,8387289910454028;"[1675; 284; 19; 88]"
junit4;MLP;4;model7;ROS;0,941432720232333;0,7749145302608347;0,9484607811484064;[0,96851418 0,58131488];0,941432720232333;0,7850467289719626;0,9499744767738643;0,8675106028729135;"[1861; 98; 23; 84]"
junit4;RandomForest;4;model6;SMOTE;0,9327202323330106;0,5984316160255954;0,9268679647796182;[0,96481903 0,2320442 ];0,9327202323330106;0,19626168224299065;0,9729453802960695;0,58460353126953;"[1906; 53; 86; 21]"
junit4;DT;4;model6;SMOTE;0,8591481122942884;0,5712124680926635;0,8861899123108617;[0,92258579 0,21983914];0,8591481122942884;0,38317757009345793;0,885145482388974;0,6341615262412159;"[1734; 225; 66; 41]"
junit4;LogistRegression;4;model6;SMOTE;0,8354307841239109;0,576051662743678;0,8733104082858757;[0,90765888 0,24444444];0,8354307841239109;0,514018691588785;0,8529862174578867;0,6835024545233358;"[1671; 288; 52; 55]"
junit4;MLP;4;model6;SMOTE;0,9060987415295256;0,6156242208028847;0,9151558535343653;[0,94976696 0,28148148];0,9060987415295256;0,35514018691588783;0,9361919346605411;0,6456660607882144;"[1834; 125; 69; 38]"
junit4;RandomForest;4;model7;SMOTE;0,9636979670861568;0,8477220216854848;0,9668498369278835;[0,98061515 0,7148289 ];0,9636979670861568;0,8785046728971962;0,9683511995916284;0,9234279362444123;"[1897; 62; 13; 94]"
junit4;DT;4;model7;SMOTE;0,957889641819942;0,819513493159282;0,9611788482281278;[0,97754839 0,6614786 ];0,957889641819942;0,794392523364486;0,9668198060234814;0,8806061646939837;"[1894; 65; 22; 85]"
junit4;LogistRegression;4;model7;SMOTE;0,8606001936108422;0,6530063822640242;0,8935969571165318;[0,92139738 0,38461538];0,8606001936108422;0,8411214953271028;0,8616641143440531;0,8513928048355779;"[1688; 271; 17; 90]"
